"ip_address","netmask"
"82.140.64.0","18"
"82.140.192.0","18"
"82.144.192.0","19"
"82.146.40.0","21"
"82.146.56.0","21"
"82.151.112.0","21"
"82.160.203.0","24"
"82.179.0.0","16"
"82.193.96.0","19"
"82.193.128.0","19"
"82.198.160.0","19"
"82.199.96.0","19"
"82.200.0.0","16"
"82.204.128.0","17"
"82.210.128.0","18"
"83.0.0.0","11"
"83.69.114.0","23"
"83.69.240.0","21"
"83.99.128.0","17"
"83.102.128.0","17"
"83.139.128.0","18"
"83.142.184.0","21"
"83.143.136.0","21"
"83.148.64.0","18"
"83.166.192.0","19"
"83.167.96.0","19"
"83.167.224.0","19"
"83.170.192.0","18"
"83.174.192.0","18"
"83.219.129.0","24"
"83.222.0.0","19"
"83.222.160.0","19"
"83.222.192.0","19"
"83.228.0.0","17"
"83.229.128.0","17"
"83.234.0.0","16"
"83.237.0.0","16"
"83.243.64.0","21"
"83.246.0.0","20"
"83.246.192.0","18"
"84.17.0.0","19"
"84.21.64.0","19"
"84.23.32.0","19"
"84.42.128.0","17"
"84.51.64.0","19"
"84.53.192.0","18"
"84.237.0.0","16"
"84.245.192.0","18"
"84.253.64.0","18"
"85.9.0.0","18"
"85.12.192.0","18"
"85.14.35.0","24"
"85.21.0.0","16"
"85.26.184.0","22"
"85.29.192.0","18"
"85.31.96.0","21"
"85.90.192.0","19"
"85.93.0.0","19"
"85.93.32.0","19"
"85.93.128.0","19"
"85.94.0.0","19"
"85.94.32.0","19"
"85.112.112.0","20"
"85.113.128.0","19"
"85.121.39.0","24"
"85.121.180.0","23"
"85.122.16.0","20"
"85.128.128.0","17"
"85.140.0.0","15"
"85.142.0.0","15"
"85.172.0.0","14"
"85.186.0.0","16"
"85.192.60.0","23"
"85.192.128.0","18"
"85.198.80.0","21"
"85.204.0.0","16"
"85.207.0.0","16"
"85.217.192.0","18"
"85.222.0.0","17"
"85.234.0.0","19"
"85.248.0.0","16"
"85.249.0.0","16"
"85.254.0.0","16"
"85.255.0.0","20"
"85.255.112.0","20"
"86.34.0.0","16"
"86.35.0.0","21"
"86.35.15.0","24"
"86.35.128.0","17"
"86.55.120.0","22"
"86.55.140.0","24"
"86.55.210.0","23"
"86.57.128.0","17"
"86.61.0.0","17"
"86.104.0.0","14"
"86.111.240.0","21"
"86.120.0.0","13"
"87.99.64.0","19"
"87.103.192.0","20"
"87.103.208.0","20"
"87.110.0.0","16"
"87.117.0.0","18"
"87.117.128.0","19"
"87.117.160.0","19"
"87.118.128.0","18"
"87.119.224.0","19"
"87.120.16.0","20"
"87.204.0.0","15"
"87.226.0.0","17"
"87.229.128.0","17"
"87.239.24.0","21"
"87.242.64.0","18"
"87.244.128.0","18"
"87.247.0.0","18"
"87.248.160.0","19"
"87.249.192.0","19"
"87.251.128.0","19"
"87.253.0.0","19"
"87.253.192.0","19"
"87.255.64.0","19"
"88.81.224.0","19"
"88.147.128.0","17"
"88.200.128.0","17"
"88.201.128.0","17"
"88.205.128.0","17"
"88.212.192.0","18"
"88.213.192.0","18"
"89.18.16.0","21"
"89.20.128.0","19"
"89.21.64.0","19"
"89.21.128.0","19"
"89.23.0.0","19"
"89.23.128.0","19"
"89.28.0.0","17"
"89.31.112.0","21"
"89.32.152.0","21"
"89.33.72.0","21"
"89.33.208.0","20"
"89.33.252.0","22"
"89.35.64.0","21"
"89.37.120.0","21"
"89.37.144.0","21"
"89.38.112.0","20"
"89.38.128.0","21"
"89.39.174.0","23"
"89.39.200.0","21"
"89.41.176.0","20"
"89.44.0.0","16"
"89.45.0.0","16"
"89.47.224.0","21"
"89.64.0.0","12"
"89.104.64.0","19"
"89.105.224.0","19"
"89.106.96.0","19"
"89.108.64.0","18"
"89.109.0.0","18"
"89.110.0.0","18"
"89.110.64.0","18"
"89.111.160.0","20"
"89.111.176.0","20"
"89.113.72.0","21"
"89.114.0.0","15"
"89.116.0.0","15"
"89.121.128.0","17"
"89.122.0.0","16"
"89.123.0.0","16"
"89.136.0.0","15"
"89.146.192.0","18"
"89.149.0.0","17"
"89.161.128.0","17"
"89.165.128.0","17"
"89.169.0.0","16"
"89.175.0.0","16"
"89.176.0.0","15"
"89.178.0.0","15"
"89.186.0.0","19"
"89.187.48.0","23"
"89.187.128.0","19"
"89.189.0.0","19"
"89.189.128.0","18"
"89.190.224.0","19"
"89.201.0.0","17"
"89.204.0.0","17"
"89.208.0.0","16"
"89.212.0.0","16"
"89.216.0.0","16"
"89.218.0.0","16"
"89.222.128.0","17"
"89.223.0.0","16"
"89.228.96.0","20"
"89.230.0.0","16"
"89.232.192.0","18"
"89.238.192.0","18"
"89.239.128.0","18"
"89.251.16.0","21"
"89.251.96.0","20"
"89.251.144.0","20"
"89.251.160.0","20"
"89.252.0.0","18"
"89.253.0.0","18"
"89.254.192.0","18"
"90.150.112.0","20"
"90.150.128.0","20"
"90.151.16.0","20"
"90.151.128.0","20"
"90.156.128.0","17"
"90.157.0.0","17"
"90.188.16.0","20"
"90.188.64.0","19"
"90.189.0.0","18"
"91.76.0.0","14"
"91.90.8.0","21"
"91.92.176.0","22"
"91.122.0.0","16"
"91.123.0.0","19"
"91.124.0.0","16"
"91.135.192.0","22"
"91.143.56.0","22"
"91.143.160.0","20"
"91.144.176.0","22"
"91.146.0.0","18"
"91.148.128.0","18"
"91.149.64.0","18"
"91.149.128.0","21"
"91.149.136.0","21"
"91.149.144.0","20"
"91.149.160.0","19"
"91.185.192.0","21"
"91.188.32.0","19"
"91.188.124.0","23"
"91.189.80.0","21"
"91.189.128.0","21"
"91.191.64.0","18"
"91.192.68.0","22"
"91.193.80.0","22"
"91.193.140.0","22"
"91.194.10.0","23"
"91.194.72.0","23"
"91.195.230.0","23"
"91.196.92.0","22"
"91.196.100.0","22"
"91.196.216.0","22"
"91.197.0.0","20"
"91.197.16.0","21"
"91.197.24.0","22"
"91.197.40.0","21"
"91.197.48.0","21"
"91.197.56.0","22"
"91.197.64.0","21"
"91.197.76.0","22"
"91.197.80.0","22"
"91.197.96.0","22"
"91.197.104.0","22"
"91.197.112.0","20"
"91.197.128.0","22"
"91.197.132.0","22"
"91.197.144.0","20"
"91.197.160.0","22"
"91.197.168.0","21"
"91.197.176.0","20"
"91.197.192.0","21"
"91.197.204.0","22"
"91.197.212.0","22"
"91.197.216.0","21"
"91.197.224.0","22"
"91.197.232.0","21"
"91.197.244.0","23"
"91.197.252.0","22"
"91.200.12.0","22"
"91.200.164.0","22"
"91.200.228.0","22"
"91.200.232.0","22"
"91.201.28.0","22"
"91.201.64.0","22"
"91.201.196.0","22"
"91.202.240.0","20"
"91.203.4.0","22"
"91.203.92.0","22"
"91.204.16.0","21"
"91.204.24.0","22"
"91.204.36.0","22"
"91.204.40.0","21"
"91.204.48.0","20"
"91.204.64.0","22"
"91.204.84.0","22"
"91.204.128.0","22"
"91.204.228.0","22"
"91.205.72.0","22"
"91.205.120.0","21"
"91.206.30.0","23"
"91.206.32.0","23"
"91.206.200.0","23"
"91.206.226.0","23"
"91.207.4.0","22"
"91.207.8.0","23"
"91.207.44.0","23"
"91.207.60.0","23"
"91.208.228.0","24"
"91.210.100.0","22"
"91.210.104.0","22"
"91.211.16.0","22"
"91.211.64.0","22"
"91.211.68.0","22"
"91.211.248.0","22"
"91.212.41.0","24"
"91.212.65.0","24"
"91.212.132.0","24"
"91.212.177.0","24"
"91.212.198.0","24"
"91.212.226.0","24"
"91.213.33.0","24"
"91.213.117.0","24"
"91.213.121.0","24"
"91.213.174.0","24"
"91.214.96.0","22"
"91.214.136.0","22"
"91.214.184.0","22"
"91.215.216.0","22"
"91.216.122.0","24"
"91.216.141.0","24"
"91.216.215.0","24"
"91.217.90.0","23"
"91.218.36.0","22"
"91.218.112.0","22"
"91.218.156.0","22"
"91.220.0.0","23"
"91.220.3.0","24"
"91.220.6.0","24"
"91.220.10.0","23"
"91.220.12.0","23"
"91.220.13.0","24"
"91.220.14.0","24"
"91.220.26.0","24"
"91.220.31.0","24"
"91.220.35.0","24"
"91.220.43.0","24"
"91.224.246.0","23"
"91.226.78.0","23"
"91.226.80.0","21"
"91.226.92.0","22"
"91.226.96.0","23"
"91.228.196.0","22"
"91.229.210.0","24"
"91.232.0.0","18"
"91.235.176.0","24"
"91.236.74.0","23"
"91.237.240.0","21"
"91.237.248.0","23"
"91.237.250.0","24"
"91.238.134.0","23"
"91.241.12.0","22"
"91.241.128.0","17"
"92.36.0.0","17"
"92.37.128.0","17"
"92.38.128.0","17"
"92.39.48.0","20"
"92.46.0.0","15"
"92.48.126.128","25"
"92.48.201.0","26"
"92.50.128.0","18"
"92.53.96.0","22"
"92.53.104.0","22"
"92.55.144.0","21"
"92.62.48.0","20"
"92.80.0.0","13"
"92.100.0.0","15"
"92.112.0.0","15"
"92.114.0.0","16"
"92.115.0.0","16"
"92.124.0.0","14"
"92.241.160.0","19"
"92.243.64.0","19"
"92.244.224.0","19"
"92.247.192.0","18"
"92.248.128.0","17"
"92.249.64.0","18"
"92.255.0.0","16"
"93.72.0.0","13"
"93.80.0.0","15"
"93.84.0.0","15"
"93.86.0.0","15"
"93.89.208.0","20"
"93.91.0.0","20"
"93.91.224.0","20"
"93.92.32.0","21"
"93.99.0.0","16"
"93.100.0.0","16"
"93.112.0.0","16"
"93.113.27.0","24"
"93.113.112.0","21"
"93.114.40.0","21"
"93.118.64.0","20"
"93.120.128.0","18"
"93.123.0.0","16"
"93.124.0.0","17"
"93.125.40.0","24"
"93.125.99.0","24"
"93.157.96.0","21"
"93.159.0.0","18"
"93.170.0.0","15"
"93.182.0.0","18"
"93.183.128.0","18"
"93.183.192.0","18"
"93.185.77.0","24"
"93.187.136.0","21"
"94.19.128.0","17"
"94.24.120.0","21"
"94.24.128.0","17"
"94.25.0.0","16"
"94.26.0.0","17"
"94.27.0.0","17"
"94.31.128.0","17"
"94.41.0.0","17"
"94.45.160.0","19"
"94.50.0.0","15"
"94.60.0.0","14"
"94.73.192.0","18"
"94.75.0.0","18"
"94.77.0.0","19"
"94.79.0.0","18"
"94.100.181.128","25"
"94.101.64.0","20"
"94.101.96.0","20"
"94.103.80.0","20"
"94.103.230.0","23"
"94.112.0.0","14"
"94.124.0.0","20"
"94.124.16.0","21"
"94.139.112.0","21"
"94.142.128.0","21"
"94.143.40.0","21"
"94.143.48.0","20"
"94.152.0.0","15"
"94.156.228.0","22"
"94.176.96.0","24"
"94.178.0.0","15"
"94.180.0.0","15"
"94.188.0.0","17"
"94.189.128.0","17"
"94.190.0.0","18"
"94.190.128.0","17"
"94.229.65.160","27"
"94.230.0.0","20"
"94.231.160.0","20"
"94.232.48.0","21"
"94.232.144.0","21"
"94.232.232.0","21"
"94.233.192.0","18"
"94.240.0.0","18"
"84.242.96.0","19"
"94.243.192.0","18"
"94.244.0.0","18"
"94.244.128.0","18"
"94.247.0.0","21"
"95.24.0.0","13"
"95.32.0.0","16"
"95.40.0.0","14"
"95.48.0.0","14"
"95.52.0.0","14"
"95.56.0.0","14"
"95.64.0.0","16"
"95.65.0.0","16"
"95.67.0.0","17"
"95.68.0.0","17"
"95.69.192.0","22"
"95.71.0.0","17"
"95.76.0.0","15"
"95.78.0.0","15"
"95.78.128.0","18"
"95.79.0.0","16"
"95.82.192.0","18"
"95.83.0.0","17"
"95.83.128.0","18"
"95.84.128.0","18"
"95.84.192.0","18"
"95.86.128.0","18"
"95.87.0.0","18"
"95.93.128.0","18"
"95.104.128.0","17"
"95.105.0.0","18"
"95.105.64.0","19"
"95.108.128.0","17"
"95.111.0.0","17"
"95.129.60.0","22"
"95.132.0.0","14"
"95.141.192.0","20"
"95.142.46.0","24"
"95.143.20.0","22"
"95.152.0.0","18"
"95.159.128.0","22"
"95.162.0.0","16"
"95.163.0.0","16"
"95.165.0.0","16"
"95.167.0.0","16"
"95.168.160.0","19"
"95.168.192.0","19"
"95.169.160.0","19"
"95.169.192.0","19"
"95.171.96.0","19"
"95.172.32.0","19"
"95.174.192.0","19"
"95.179.0.0","17"
"95.182.112.0","20"
"95.188.0.0","14"
"95.215.36.0","22"
"95.220.0.0","16"
"108.62.150.0","24"
"109.60.128.0","17"
"109.62.128.0","17"
"109.72.112.0","20"
"109.74.128.0","20"
"109.80.0.0","15"
"109.86.0.0","15"
"109.92.0.0","15"
"109.95.112.0","22"
"109.95.224.0","21"
"109.96.0.0","13"
"109.108.64.0","19"
"109.110.32.0","19"
"109.110.64.0","19"
"109.111.176.0","20"
"109.120.128.0","18"
"109.122.0.0","18"
"109.122.88.0","21"
"109.124.0.0","18"
"109.124.192.0","19"
"109.126.136.0","21"
"109.126.192.0","18"
"109.161.0.0","17"
"109.163.192.0","21"
"109.163.216.0","21"
"109.163.224.0","22"
"109.163.228.0","24"
"109.163.229.0","24"
"109.163.230.0","23"
"109.163.236.0","22"
"109.165.0.0","17"
"109.167.0.0","16"
"109.168.128.0","17"
"109.169.192.0","18"
"109.171.0.0","17"
"109.173.0.0","17"
"109.184.0.0","16"
"109.185.0.0","16"
"109.187.0.0","16"
"109.188.0.0","16"
"109.191.0.0","16"
"109.194.0.0","18"
"109.194.64.0","19"
"109.195.48.0","20"
"109.196.16.0","20"
"109.196.128.0","20"
"109.200.96.0","19"
"109.200.128.0","19"
"109.206.96.0","19"
"109.207.200.0","21"
"109.227.64.0","18"
"109.229.0.0","19"
"109.230.0.0","18"
"109.230.128.0","19"
"109.243.0.0","16"
"109.252.0.0","16"
"109.254.0.0","16"
"128.72.0.0","15"
"130.0.232.0","21"
"130.204.0.0","16"
"134.0.112.0","21"
"134.17.0.0","16"
"141.85.0.0","16"
"141.101.128.0","17"
"141.105.64.0","21"
"141.136.27.0","24"
"146.185.0.0","16"
"147.228.0.0","14"
"147.232.0.0","14"
"147.236.0.0","15"
"158.181.0.0","16"
"158.197.0.0","16"
"159.148.0.0","16"
"159.224.0.0","16"
"160.99.0.0","16"
"164.177.192.0","18"
"174.133.202.176","28"
"176.14.0.0","15"
"176.36.0.0","14"
"176.53.128.0","17"
"176.102.0.0","18"
"176.102.192.0","19"
"176.111.32.0","19"
"176.111.64.0","19"
"176.111.96.0","21"
"176.113.32.0","21"
"176.113.224.0","19"
"176.123.0.0","19"
"176.196.128.0","18"
"176.212.0.0","15"
"176.215.64.0","21"
"176.222.140.0","22"
"176.223.0.0","16"
"178.19.99.0","24"
"178.19.104.0","21"
"178.34.128.0","18"
"178.36.0.0","15"
"178.44.0.0","14"
"178.49.0.0","16"
"178.64.0.0","13"
"178.73.0.0","18"
"178.75.64.0","18"
"178.76.192.0","18"
"178.88.0.0","14"
"178.92.0.0","14"
"178.120.0.0","13"
"178.129.0.0","16"
"178.130.0.0","16"
"178.137.0.0","16"
"178.140.0.0","16"
"178.150.0.0","15"
"178.154.0.0","17"
"178.158.192.0","19"
"178.159.16.0","20"
"178.159.32.0","19"
"178.159.64.0","19"
"178.159.208.0","20"
"178.159.240.0","21"
"178.161.128.0","17"
"178.163.128.0","17"
"178.165.0.0","17"
"178.167.0.0","17"
"178.168.0.0","17"
"178.172.129.0","24"
"178.183.224.0","19"
"178.184.0.0","14"
"178.204.0.0","15"
"178.206.0.0","16"
"178.208.83.0","24"
"178.209.64.0","19"
"178.210.32.0","20"
"178.212.96.0","21"
"178.213.240.0","21"
"178.216.32.0","21"
"178.217.160.0","21"
"178.218.96.0","20"
"178.220.0.0","14"
"178.234.0.0","16"
"185.30.176.0","22"
"188.16.0.0","16"
"188.18.16.0","20"
"188.18.64.0","19"
"188.18.112.0","20"
"188.18.240.0","20"
"188.24.0.0","14"
"188.40.54.192","26"
"188.47.64.0","18"
"188.64.168.0","21"
"188.64.220.0","22"
"188.92.72.0","21"
"188.92.160.0","21"
"188.95.152.0","21"
"188.115.128.0","18"
"188.120.32.0","20"
"188.120.248.0","23"
"188.123.224.0","19"
"188.128.0.0","17"
"188.129.128.0","17"
"188.131.0.0","17"
"188.138.128.0","17"
"188.143.128.0","17"
"188.146.0.0","15"
"188.163.0.0","16"
"188.168.0.0","16"
"188.186.0.0","16"
"188.187.128.0","18"
"188.190.0.0","16"
"188.191.224.0","19"
"188.208.0.0","13"
"188.225.32.0","21"
"188.226.0.0","17"
"188.229.0.0","17"
"188.230.0.0","17"
"188.231.168.0","22"
"188.233.0.0","17"
"188.235.0.0","19"
"188.235.128.0","18"
"188.240.0.0","16"
"188.244.32.0","20"
"188.247.135.0","24"
"192.129.3.0","24"
"192.162.0.0","16"
"193.0.212.0","24"
"193.9.28.0","24"
"193.17.208.0","24"
"193.19.244.0","22"
"193.25.112.0","23"
"193.27.246.0","23"
"193.30.248.0","22"
"193.37.138.0","24"
"193.37.156.0","23"
"193.39.113.0","24"
"193.43.252.0","22"
"193.47.166.0","24"
"193.58.246.0","24"
"193.77.64.0","18"
"193.86.0.0","16"
"193.93.228.0","22"
"193.104.27.0","24"
"193.104.41.0","24"
"193.104.94.0","24"
"193.105.0.0","24"
"193.105.154.0","24"
"193.105.210.0","24"
"193.106.0.0","21"
"193.106.24.0","22"
"193.106.28.0","22"
"193.106.40.0","21"
"193.106.56.0","21"
"193.106.64.0","21"
"193.106.104.0","22"
"193.106.136.0","22"
"193.106.168.0","23"
"193.106.172.0","22"
"193.108.38.0","23"
"193.108.248.0","22"
"193.110.120.0","22"
"193.111.48.0","22"
"193.111.114.0","23"
"193.169.12.0","23"
"193.169.86.0","23"
"193.178.144.0","22"
"193.178.228.0","23"
"193.189.116.0","23"
"193.200.50.0","23"
"193.200.255.0","24"
"193.203.36.0","22"
"193.203.40.0","21"
"193.203.48.0","22"
"193.223.101.0","24"
"193.227.226.0","23"
"193.227.240.0","23"
"193.230.232.0","24"
"193.238.0.0","22"
"193.238.74.0","23"
"193.238.128.0","22"
"193.239.24.0","22"
"193.239.36.0","22"
"193.239.44.0","22"
"193.239.64.0","21"
"193.239.72.0","22"
"193.243.168.0","22"
"194.0.88.0","22"
"194.8.156.0","22"
"194.8.250.0","23"
"194.15.112.0","22"
"194.28.4.0","23"
"194.28.16.0","22"
"194.28.20.0","22"
"194.28.28.0","22"
"194.28.32.0","20"
"194.28.52.0","22"
"194.28.56.0","22"
"194.28.60.0","22"
"194.28.64.0","20"
"194.28.44.0","22"
"194.29.60.0","22"
"194.44.0.0","16"
"194.50.7.0","24"
"194.54.88.0","22"
"194.63.140.0","23"
"194.79.60.0","22"
"194.85.88.0","21"
"194.85.128.0","19"
"194.102.64.0","21"
"194.102.114.0","24"
"194.114.136.0","22"
"194.114.144.0","22"
"194.146.136.0","22"
"194.146.196.0","22"
"194.146.228.0","22"
"194.160.0.0","16"
"194.169.126.0","24"
"194.176.176.0","24"
"194.181.0.0","16"
"194.186.0.0","16"
"194.187.108.0","22"
"194.187.148.0","22"
"194.190.32.0","22"
"194.226.0.0","16"
"194.247.24.0","23"
"195.2.96.0","19"
"195.2.192.0","23"
"195.2.240.0","23"
"195.2.252.0","23"
"195.3.128.0","19"
"195.5.32.0","19"
"195.5.116.0","23"
"195.5.161.0","24"
"195.9.0.0","16"
"195.14.112.0","23"
"195.20.196.0","23"
"195.22.104.0","22"
"195.24.64.0","21"
"195.28.2.0","23"
"195.28.32.0","19"
"195.34.208.0","22"
"195.34.224.0","19"
"195.39.210.0","23"
"195.42.160.0","19"
"195.46.160.0","19"
"195.54.162.0","23"
"195.54.192.0","19"
"195.58.0.0","19"
"195.58.32.0","19"
"195.58.224.0","19"
"195.60.174.0","23"
"195.62.24.0","23"
"195.66.140.0","23"
"195.78.108.0","23"
"195.78.124.0","23"
"195.82.154.0","23"
"195.88.32.0","23"
"195.93.218.0","23"
"195.95.218.0","23"
"195.95.228.0","23"
"195.112.96.0","19"
"195.114.32.0","19"
"195.114.128.0","19"
"195.114.240.0","20"
"195.116.0.0","16"
"195.128.16.0","22"
"195.128.48.0","21"
"195.131.0.0","16"
"195.137.200.0","23"
"195.138.64.0","19"
"195.138.198.0","24"
"195.162.68.0","23"
"195.170.192.0","19"
"195.182.0.0","24"
"195.182.3.0","24"
"195.182.7.0","24"
"195.182.8.0","24"
"195.182.15.0","24"
"195.182.21.0","24"
"195.182.22.0","24"
"195.182.27.0","24"
"195.182.128.0","19"
"195.182.202.0","23"
"195.189.8.0","22"
"195.189.16.0","22"
"195.189.28.0","22"
"195.189.36.0","22"
"195.189.40.0","21"
"195.189.48.0","22"
"195.189.60.0","22"
"195.189.68.0","22"
"195.189.72.0","22"
"195.189.80.0","22"
"195.189.96.0","20"
"195.189.224.0","21"
"195.189.246.0","23"
"195.190.13.0","24"
"195.190.157.0","24"
"195.191.54.0","23"
"195.200.90.0","23"
"195.208.0.0","15"
"195.209.32.0","19"
"195.209.224.0","19"
"195.210.8.0","23"
"195.210.46.0","23"
"195.211.100.0","22"
"195.216.243.0","24"
"195.222.64.0","20"
"195.222.88.0","23"
"195.222.92.0","22"
"195.225.64.0","22"
"195.225.176.0","22"
"195.239.0.0","16"
"195.242.98.0","23"
"195.242.114.0","23"
"195.242.161.0","24"
"195.242.232.0","22"
"195.244.128.128","25"
"195.245.96.0","23"
"195.245.112.0","23"
"195.245.208.0","24"
"199.127.96.0","21"
